1,abanico
2,abdomen
3,abrazo
4,abrigo
5,abrir
6,absoluto
7,abuelo
8,aburrido
9,aburrimiento
10,aburrirse
11,acción
12,aceleración
13,acercar
14,acierto
15,acordar
16,actitud
17,actividad
18,actividades
19,acto
20,actuación
21,actual
22,acuerdo
23,adjetivos
24,administración
25,admirar
26,adolescente
27,adulto
28,aeropuerto
29,afectar
30,afirmar
31,agarrar
32,agitado
33,agua
34,águila
35,aguja
36,aire
37,ajeno
38,alcanzar
39,alegrarse
40,alegría
41,alejado
42,alejar
43,alemán
44,alfabeto
45,alimento
46,alma
47,almacén
48,almendra
49,alto
50,amanecer
51,amar
52,amargo
53,amarillo
54,ambiente
55,ambulancia
56,amigo
57,amistad
58,amor
59,amplio
60,análisis
61,analizar
62,ancho
63,anciano
64,angosto
65,animal
66,animales
67,anochecer
68,ansioso
69,anterior
70,añadir
71,año
72,aparato
73,aparecer
74,apartamento
75,apestoso
76,apoyo
77,aprendizaje
78,apuñalar
79,araña
80,árbol
81,área
82,arena
83,aritmética
84,arma
85,armonía
86,arrojar
87,arroz
88,arte
89,artículo
90,artístico
91,asociación
92,aspecto
93,asustado
94,asustarse
95,ataque
96,atención
97,atún
98,aumento
99,automático
100,automóvil
101,autopista
102,autor
103,autoridad
104,auxiliares
105,avance
106,avanzar
107,ave
108,avena
109,avenida
110,aventura
111,avión
112,ayer
113,ayuda
114,ayudar
115,azul
116,babosa
117,bajo
118,bambú
119,barato
120,barba
121,barco
122,barro
123,base
124,bebé
125,beber
126,bebida
127,beneficio
128,bicho
129,bienestar
130,bigote
131,billete
132,bisabuelo
133,bisnieto
134,blanco
135,blando
136,boca
137,boleto
138,bolsa
139,bolsillo
140,bolso
141,bomberos
142,bosque
143,botón
144,bragas
145,brazo
146,brillo
147,bueno
148,bus
149,búsqueda
150,caballero
151,caballo
152,cabello
153,cabeza
154,cada
155,cadera
156,café
157,calamar
158,calcetines
159,calendario
160,calidad
161,caliente
162,callar
163,calle
164,calmo
165,calor
166,caluroso
167,calzoncillo
168,cama
169,cámara
170,camarón
171,cambiar
172,cambio
173,camino
174,camisa
175,camiseta
176,campaña
177,campo
178,canción
179,cansado
180,cansancio
181,cansarse
182,cantar
183,cantidad
184,caracol
185,carácter
186,característica
187,cargo
188,caricia
189,carne
190,caro
191,carrera
192,carretera
193,carta
194,casa
195,caso
196,castaña
197,castaño
198,causa
199,cebada
200,celeste
201,centésimo
202,central
203,cercano
204,cerdo
205,cerebro
206,cero
207,cerro
208,chaqueta
209,chino
210,cielo
211,cien
212,ciencia
213,cierto
214,ciervo
215,cinco
216,cine
217,cintura
218,cinturón
219,ciruela
220,ciudad
221,clase
222,clavar
223,clavo
224,clima
225,club
226,cocodrilo
227,código
228,codo
229,coger
230,colega
231,colegio
232,color
233,colores
234,columna
235,coma
236,comer
237,comercio
238,comida
239,comienzo
240,comisión
241,compacto
242,compañía
243,competición
244,complicar
245,comprar
246,computadora
247,común
248,comunicación
249,comunicarse
250,comunidad
251,concepto
252,conciencia
253,condición
254,conejo
255,conexión
256,confianza
257,conflicto
258,congreso
259,conjunto
260,conocido
261,conocimiento
262,consecuencia
263,consejo
264,consolar
265,constitución
266,construcción
267,consumo
268,contenido
269,contento
270,continental
271,contrario
272,control
273,corazón
274,cordones
275,correcto
276,corriente
277,cortar
278,corte
279,cosa
280,costa
281,creación
282,creatividad
283,crecer
284,crecimiento
285,cremallera
286,criatura
287,crisis
288,cuadro
289,cualquier
290,cuarto
291,cuatro
292,cucaracha
293,cuello
294,cuenta
295,cuerda
296,cuerpo
297,cuervo
298,cuestión
299,cultura
300,cultural
301,curso
302,dado
303,dama
304,dar
305,dato
306,débil
307,década
308,décimo
309,decir
310,decisión
311,decreto
312,dedo
313,defensa
314,delgado
315,delicioso
316,demanda
317,democracia
